Code,Name,Name KH,Category Code,Unit ID,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Subcategory Code,Product Variants Separated by |,Supplier1(No),Supplier2(No),Supplier3(No),Supplier4(No),Supplier5(No),Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6,Image,Type(standard or service)
C-BT-109,????????,,Unboxed,1,19,26,2, No Tax, exclusive,Camera,,,,,,,,,,,,,,standard
C-DM2,????????????????,,Unboxed,1,2,2.75,2, No Tax, exclusive,Camera,,,,,,,,,,,,,,standard
C-KG-680R,????????????????,,Unboxed,1,5,7,2, No Tax, exclusive,Camera,,,,,,,,,,,,,,standard
C-KG-680B,????????????????,,Unboxed,1,5,7,2, No Tax, exclusive,Camera,,,,,,,,,,,,,,standard
C-MC12026,??????????????????,,Unboxed,1,7,9,2, No Tax, exclusive,Camera,,,,,,,,,,,,,,standard
C-MC12024,??????????????????,,Unboxed,1,7,9,2, No Tax, exclusive,Camera,,,,,,,,,,,,,,standard
KT-A016,???????????????????,,Unboxed,1,13,18,2, No Tax, exclusive,Camera,,,,,,,,,,,,,,standard
DN-A014,???????????????????,,Unboxed,1,13,18,2, No Tax, exclusive,Camera,,,,,,,,,,,,,,standard
C-FE09504-6,???????????????????,,Unboxed,1,13,18,2, No Tax, exclusive,Camera,,,,,,,,,,,,,,standard
C-TC7032B,?????,,Unboxed,1,7,9,2, No Tax, exclusive,Camera,,,,,,,,,,,,,,standard
DN-A004,?????,,Unboxed,1,7,9,2, No Tax, exclusive,Camera,,,,,,,,,,,,,,standard
C-RS500M,?????????????,,Unboxed,1,14,18,2, No Tax, exclusive,Camera,,,,,,,,,,,,,,standard
CBNX17419,????? 9???,,Unboxed,1,4,5.25,2, No Tax, exclusive,Camera,,,,,,,,,,,,,,standard
CBNX17415,????? 5???,,Unboxed,1,3.75,4.9,2, No Tax, exclusive,Camera,,,,,,,,,,,,,,standard
DN-A012,????? 8???,,Unboxed,1,4,5,2, No Tax, exclusive,Camera,,,,,,,,,,,,,,standard
DN-A020,????? 4???,,Unboxed,1,3.75,5,2, No Tax, exclusive,Camera,,,,,,,,,,,,,,standard
C-HC63B,?????????????,,Unboxed,1,80,99,2, No Tax, exclusive,Camera,,,,,,,,,,,,,,standard
C-BT-HY12,???????????,,Unboxed,1,164,219,2, No Tax, exclusive,Camera,,,,,,,,,,,,,,standard
KT-F002,???????????,,Unboxed,1,165,210,2, No Tax, exclusive,Camera,,,,,,,,,,,,,,standard
KT-S008,???????????,,Unboxed,1,39,49,2, No Tax, exclusive,Camera,,,,,,,,,,,,,,standard
DN-S008,???????????,,Unboxed,1,39,49,2, No Tax, exclusive,Camera,,,,,,,,,,,,,,standard
DN-F002,???????????,,Unboxed,1,165,210,2, No Tax, exclusive,Camera,,,,,,,,,,,,,,standard
C-P542,???????????,,Unboxed,1,165,210,2, No Tax, exclusive,Camera,,,,,,,,,,,,,,standard
17-534-033,???????????,,Unboxed,1,39,49,2, No Tax, exclusive,Camera,,,,,,,,,,,,,,standard
C-BW05G,??????????????,,Unboxed,1,45,59,2, No Tax, exclusive,Camera,,,,,,,,,,,,,,standard
C-9046,???????????????????,,Unboxed,1,84,110,2, No Tax, exclusive,Camera,,,,,,,,,,,,,,standard
C-9030,???????????????????,,Unboxed,1,51,67,2, No Tax, exclusive,Camera,,,,,,,,,,,,,,standard
C-9010,Mono Steam,,Unboxed,1,3,3.75,2, No Tax, exclusive,Camera,,,,,,,,,,,,,,standard
C-2616-20,????????????????,,Unboxed,1,3,3.75,2, No Tax, exclusive,Camera,,,,,,,,,,,,,,standard
C21144,Breastom,,Unboxed,1,38,45,2, No Tax, exclusive,Camera,,,,,,,,,,,,,,standard
WW-2200,Breastom,,Unboxed,1,113,135,2, No Tax, exclusive,Camera,,,,,,,,,,,,,,standard
C-10082,???????????,,Unboxed,1,4,5.25,2, No Tax, exclusive,Camera,,,,,,,,,,,,,,standard
C-1019-1,?????????????,,Unboxed,1,3,3.9,2, No Tax, exclusive,Camera,,,,,,,,,,,,,,standard
C-1132-1,???????????????????,,Unboxed,1,2,2.75,2, No Tax, exclusive,Camera,,,,,,,,,,,,,,standard
C-11774,??????????????,,Unboxed,1,5,6.5,2, No Tax, exclusive,Camera,,,,,,,,,,,,,,standard
C-19219,???????????????,,Unboxed,1,19,25,2, No Tax, exclusive,Camera,,,,,,,,,,,,,,standard
C19317,???????????????,,Unboxed,1,18,24,2, No Tax, exclusive,Camera,,,,,,,,,,,,,,standard
C-ST0476,???????????,,Unboxed,1,140,179,2, No Tax, exclusive,Camera,,,,,,,,,,,,,,standard
C-ST0318,???????????,,Unboxed,1,155,205,2, No Tax, exclusive,Camera,,,,,,,,,,,,,,standard
C-BG0231,???????????,,Unboxed,1,93,120,2, No Tax, exclusive,Camera,,,,,,,,,,,,,,standard
C-ST0316,???????????,,Unboxed,1,149,189,2, No Tax, exclusive,Camera,,,,,,,,,,,,,,standard
DN-F001,???????????,,Unboxed,1,140,179,2, No Tax, exclusive,Camera,,,,,,,,,,,,,,standard
C-CSS342,??????????,,Unboxed,1,80,105,2, No Tax, exclusive,Camera,,,,,,,,,,,,,,standard
C-CSS333,??????????,,Unboxed,1,80,105,2, No Tax, exclusive,Camera,,,,,,,,,,,,,,standard
C-CS701,?????????,,Unboxed,1,117,150,2, No Tax, exclusive,Camera,,,,,,,,,,,,,,standard
C-CS675,?????????,,Unboxed,1,160,210,2, No Tax, exclusive,Camera,,,,,,,,,,,,,,standard
