Code,Name,Name KH,Category Code,Unit ID,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Subcategory Code,Product Variants Separated by |,Supplier1(No),Supplier2(No),Supplier3(No),Supplier4(No),Supplier5(No),Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6,Image,Type(standard or service)
CK-19616,ការ៉ូក្រាលបាត 60 X 60 CM,,cn,12,,,10, No Tax, exclusive,,M2=1|BOX=1.44,,,,,,,,,,,,no_image.png,standard
CK-CGB60693LP,ការ៉ូក្រាលបាត 60 X 60 CM,,cn,12,,,,,,,M2=1|BOX=1.44,,,,,,,,,,,,no_image.png,standard
CK-MB6017,ការ៉ូក្រាលបាត 60 X 60 CM,,cn,12,,,,,,,M2=1|BOX=1.44,,,,,,,,,,,,no_image.png,standard
CK-Q2312,ការ៉ូក្រាលបាត 60 X 60 CM,,cn,12,,,,,,,M2=1|BOX=1.44,,,,,,,,,,,,no_image.png,standard
CK-26006,ការ៉ូក្រាលបាត 60 X 60 CM,,cn,12,,,,,,,M2=1|BOX=1.44,,,,,,,,,,,,no_image.png,standard
CK-6F028,ការ៉ូក្រាលបាត 60 X 60 CM,,cn,12,,,,,,,M2=1|BOX=1.44,,,,,,,,,,,,no_image.png,standard
CK-Q2300M49,ការ៉ូក្រាលបាត 60 X 60 CM,,cn,12,,,,,,,M2=1|BOX=1.44,,,,,,,,,,,,no_image.png,standard
CK-60A05,ការ៉ូក្រាលបាត 60 X 60 CM,,cn,12,,,,,,,M2=1|BOX=1.44,,,,,,,,,,,,no_image.png,standard
ck-60A15,ការ៉ូក្រាលបាត 60 X 60 CM,,cn,12,,,,,,,M2=1|BOX=1.44,,,,,,,,,,,,no_image.png,standard
CK-1DY061Y,ការ៉ូក្រាលបាត 60 X 60 CM,,cn,12,,,,,,,M2=1|BOX=1.44,,,,,,,,,,,,no_image.png,standard
CK-60A201,ការ៉ូក្រាលបាត 60 X 60 CM,,cn,12,,,,,,,M2=1|BOX=1.44,,,,,,,,,,,,no_image.png,standard
CK-HC6AJ005,ការ៉ូក្រាលបាត 60 X 60 CM,,cn,12,,,,,,,M2=1|BOX=1.44,,,,,,,,,,,,no_image.png,standard
CK-MT6K55JL,ការ៉ូក្រាលបាត 60 X 60 CM,,cn,12,,,,,,,M2=1|BOX=1.44,,,,,,,,,,,,no_image.png,standard
CK-G6K5E,ការ៉ូក្រាលបាត 60 X 60 CM,,cn,12,,,,,,,M2=1|BOX=1.44,,,,,,,,,,,,no_image.png,standard
