Code,Quantity,option_id,warehouse_id,opening_stock,cost,expiry
60016 ,0,3,1,1,5,
60017 ,2,3,1,1,9.6,
60018 ,0,3,1,1,7.6,
60019 ,1,3,1,1,5,
60020 ,0,3,1,1,5,
60021 ,2,3,1,1,6.3,
60022 ,0,3,1,1,8.3,
60023 ,-1,3,1,1,8.3,
60024 ,0,3,1,1,5.6,
60025 ,2,3,1,1,6,
60026 ,1,3,1,1,8.3,
60027 ,2,3,1,1,7,
60028 ,-2,3,1,1,7.6,
60029 ,0,3,1,1,7,
60030 ,0,3,1,1,6.3,
60031 ,15,3,1,1,5.6,
60032 ,0,3,1,1,4,
60033 ,0,3,1,1,4,
60034 ,0,3,1,1,5,
60035 ,0,3,1,1,7,
60036 ,-3,3,1,1,8.3,
60037 ,8,3,1,1,3.7,
60038 ,-4,3,1,1,4.7,
