Code,Quantity,option_id,warehouse_id,opening_stock,cost,expiry
60033 ,6,3,1,1,4,30-10-17
60032 ,7,3,1,1,4,31-10-17
60016 ,26,3,1,1,5,01-11-17
60034 ,7,3,1,1,5,02-11-17
60030 ,6,3,1,1,6.3,03-11-17
60037 ,54,3,1,1,3.7,04-11-17
60024 ,6,3,1,1,5.6,05-11-17
60010 ,15,3,1,1,5.3,06-11-17
60038 ,22,3,1,1,4.7,07-11-17
60007 ,9,3,1,1,5.6,08-11-17
60019 ,11,3,1,1,5,09-11-17
60031 ,,3,1,1,5.6,10-11-17
60035 ,5,3,1,1,7,11-11-17
60020 ,12,3,1,1,5,12-11-17
60021 ,17,3,1,1,6.3,13-11-17
60029 ,2,3,1,1,7,14-11-17
60027 ,3,3,1,1,7,15-11-17
60025 ,8,3,1,1,6,16-11-17
60028 ,14,3,1,1,7.6,17-11-17
60012 ,,3,1,1,8,18-11-17
60009 ,29,3,1,1,6,19-11-17
60014 ,11,3,1,1,6,20-11-17
60006 ,43,3,1,1,7.3,21-11-17
60008 ,10,3,1,1,5.6,22-11-17
60013 ,14,3,1,1,6,23-11-17
60005 ,4,3,1,1,6.6,24-11-17
60026 ,,3,1,1,8.3,25-11-17
60018 ,6,3,1,1,7.6,26-11-17
60015 ,5,3,1,1,9.3,27-11-17
60004 ,6,3,1,1,8.3,28-11-17
60023 ,11,3,1,1,8.3,29-11-17
60022 ,6,3,1,1,8.3,30-11-17
60017 ,7,3,1,1,9.6,01-12-17
60011 ,24,3,1,1,8,02-12-17
60003 ,11,3,1,1,9.3,03-12-17
60036 ,5,3,1,1,8.3,04-12-17
60002 ,11,3,1,1,10,05-12-17
60001 ,11,3,1,1,10.5,06-12-17
