Code,Quantity,option_id,warehouse_id,opening_stock,cost,expiry
40042,15,3,1,1,1.8,30-10-17
40082,20,3,1,1,1,31-10-17
40043,,3,1,1,0.5,01-11-17
PPimi-01 ,4,3,1,1,80,02-11-17
40027,40,3,1,1,0.5,03-11-17
40053,20,3,1,1,0.5,04-11-17
40110,20,3,1,1,0.96,05-11-17
40112,30,3,1,1,0.98,06-11-17
40031,49,3,1,1,1,07-11-17
40111,25,3,1,1,1,08-11-17
40019,,3,1,1,1.03,09-11-17
40113,30,3,1,1,1.1,10-11-17
40017,7,3,1,1,1.18,11-11-17
Duk ,,3,1,1,1.2,12-11-17
40048,5,3,1,1,1.58,13-11-17
40050,0,3,1,1,1.58,14-11-17
40108,43,3,1,1,1.65,15-11-17
40107,8,3,1,1,1.66,16-11-17
40060,50,3,1,1,1.71,17-11-17
40022,19,3,1,1,1.73,18-11-17
40106,23,3,1,1,1.83,19-11-17
40049,13,3,1,1,1.87,20-11-17
40103,3,3,1,1,1.88,21-11-17
40093,24,3,1,1,1.89,22-11-17
40063,9,3,1,1,2,23-11-17
40051,14,3,1,1,2,24-11-17
40045,0,3,1,1,2,25-11-17
40054,1,3,1,1,2,26-11-17
40052,14,3,1,1,2,27-11-17
40084,15,3,1,1,2.23,28-11-17
40083,34,3,1,1,2.23,29-11-17
40085,5,3,1,1,2.23,30-11-17
40098,23,3,1,1,2.5,01-12-17
ball small 50 ,0,3,1,1,2.5,02-12-17
10302,0,3,1,1,2.5,03-12-17
40030,15,3,1,1,2.5,04-12-17
40038,1,3,1,1,2.5,05-12-17
40061,12,3,1,1,2.64,06-12-17
40015,25,3,1,1,2.64,07-12-17
40078,22,3,1,1,2.68,08-12-17
AUBH02-2 ,4,3,1,1,2.7,09-12-17
40064,0,3,1,1,2.7,10-12-17
40021,15,3,1,1,2.75,11-12-17
40119,0,3,1,1,2.8,12-12-17
40099,19,3,1,1,2.8,13-12-17
40076,10,3,1,1,2.81,14-12-17
40016,0,3,1,1,2.87,15-12-17
40109,27,3,1,1,2.9,16-12-17
40047,15,3,1,1,2.9,17-12-17
40018,15,3,1,1,2.98,18-12-17
40118,6,3,1,1,3,19-12-17
40026,0,3,1,1,3,20-12-17
40090,9,3,1,1,3,21-12-17
40116,10,3,1,1,3,22-12-17
40105,55,3,1,1,3,23-12-17
40087,15,3,1,1,3.08,24-12-17
40088,9,3,1,1,3.08,25-12-17
40102,22,3,1,1,3.16,26-12-17
40096,22,3,1,1,3.4,27-12-17
40079,13,3,1,1,3.46,28-12-17
40062,29,3,1,1,3.5,29-12-17
40097,24,3,1,1,3.5,30-12-17
40070,0,3,1,1,3.5,31-12-17
40066,23,3,1,1,3.79,01-01-18
40092,19,3,1,1,3.79,02-01-18
40059,0,3,1,1,3.8,03-01-18
40014,2,3,1,1,4,04-01-18
40100,8,3,1,1,4.3,05-01-18
AUBH02-1 ,7,3,1,1,4.5,06-01-18
40101,10,3,1,1,4.5,07-01-18
40065,6,3,1,1,4.5,08-01-18
40069,2,3,1,1,4.6,09-01-18
40081,0,3,1,1,4.6,10-01-18
40029,9,3,1,1,4.8,11-01-18
40074,29,3,1,1,4.82,12-01-18
40117,12,3,1,1,4.9,13-01-18
40077,6,3,1,1,4.9,14-01-18
40020,28,3,1,1,5,15-01-18
40071,2,3,1,1,5,16-01-18
40040,0,3,1,1,5,17-01-18
40032,143,3,1,1,5.18,18-01-18
40075,9,3,1,1,5.25,19-01-18
40114,27,3,1,1,5.25,20-01-18
40091,5,3,1,1,5.52,21-01-18
40104,5,3,1,1,5.55,22-01-18
40115,30,3,1,1,5.58,23-01-18
40068,2,3,1,1,5.6,24-01-18
Pool Roond 86cm*25cm ,0,3,1,1,6,25-01-18
40033,38,3,1,1,6.04,26-01-18
40067,0,3,1,1,6.8,27-01-18
40025,16,3,1,1,7,28-01-18
AUTORU AUADP ,7,3,1,1,7,29-01-18
40023,2,3,1,1,7,30-01-18
40055,53,3,1,1,7.5,31-01-18
40080,0,3,1,1,7.92,01-02-18
40044,15,3,1,1,8,02-02-18
40012,10,3,1,1,8.43,03-02-18
AUTORU AUADP 85KG ,11,3,1,1,8.5,04-02-18
40013,2,3,1,1,8.6,05-02-18
10315,9,3,1,1,8.62,06-02-18
40008,9,3,1,1,9,07-02-18
Pool Squar 166cm ,0,3,1,1,9.5,08-02-18
40058,11,3,1,1,9.9,09-02-18
40089,2,3,1,1,10,10-02-18
40095,0,3,1,1,10.83,11-02-18
AUBH02 ,4,3,1,1,11,12-02-18
40056,19,3,1,1,11,13-02-18
40028,12,3,1,1,11.24,14-02-18
40039,26,3,1,1,12,15-02-18
pool Roond 114cm*25cm ,0,3,1,1,12,16-02-18
40046,7,3,1,1,12.13,17-02-18
10243,3,3,1,1,12.5,18-02-18
40034,70,3,1,1,12.9,19-02-18
